date,open,high,low,close,volume
2004-09-30,102.7,135.02,98.94,129.6,212494700.0
2004-10-29,130.8,199.95,128.9,190.64,513620700.0
2004-11-30,193.5,201.6,161.31,181.98,554632100.0
2004-12-31,181.77,199.88,168.47,192.79,290392600.0
2005-01-31,197.4,205.3,176.29,195.62,409918400.0
2005-02-28,194.38,216.8,181.0,187.99,650567500.0
2005-03-31,189.29,189.85,172.57,180.51,343553000.0
2005-04-29,181.76,224.74,179.84,220.0,452927500.0
2005-05-31,222.05,278.4,220.21,277.27,507029100.0
2005-06-30,283.2,309.25,267.43,294.15,777224400.0
2005-07-29,295.04,317.8,286.99,287.76,409487200.0
2005-08-31,288.48,299.72,273.35,286.0,285656800.0
2005-09-30,285.91,320.95,285.0,316.46,339965100.0
2005-10-31,313.63,374.75,290.685,372.14,385538000.0
2005-11-30,371.86,431.24,369.01,404.9125,422908000.0
2005-12-30,409.2,446.21,399.01,414.86,397165000.0
2006-01-31,422.52,475.11,394.74,432.6601,597481100.0
2006-02-28,389.86,406.5,337.83,362.62,594453900.0
2006-03-31,369.0,399.0,331.55,390.0,612913300.0
2006-04-28,389.75,450.72,387.93,417.94,370257300.0
2006-05-31,417.85,419.44,360.57,371.82,351526700.0
2006-06-30,373.54,419.33,371.6,419.33,284475000.0
2006-07-31,420.04,427.89,377.69,386.6,254787800.0
2006-08-31,385.11,390.0,363.36,378.53,213728900.0
2006-09-29,380.995,418.69,376.72,401.9,242858900.0
2006-10-31,401.9,491.96,398.19,476.39,316709800.0
2006-11-30,478.755,513.0,465.0615,484.81,236642800.0
2006-12-29,485.98,492.4,452.3405,460.48,183144000.0
2007-01-31,466.0,513.0,461.11,501.5,248923900.0
2007-02-28,506.0,506.01,443.04,449.45,227599400.0
2007-03-30,442.67,466.0,437.0,458.16,235995600.0
2007-04-30,457.76,492.5,452.12,471.38,185730000.0
2007-05-31,472.19,508.78,457.41,497.909,198963200.0
2007-06-29,501.0,534.99,497.59,522.7001,257837700.0
2007-07-31,525.49,558.58,498.88,510.0,233027400.0
2007-08-31,510.5,526.82,480.46,515.25,177222800.0
2007-09-28,515.02,571.7899,510.88,567.27,138687900.0
2007-10-31,569.97,707.0,569.61,707.0,310590000.0
2007-11-30,702.79,747.24,616.02,693.0,342606600.0
2007-12-31,691.01,724.8,652.5,691.48,170456500.0
2008-01-31,692.87,697.37,519.0,564.3,315262000.0
2008-02-29,528.67,541.04,446.85,471.18,354015500.0
2008-03-31,471.51,472.72,412.11,440.47,290938800.0
2008-04-30,447.74,584.86,441.0,574.29,285802500.0
2008-05-30,578.31,602.45,537.81,585.8,209055200.0
2008-06-30,582.5,588.04,515.09,526.42,187380600.0
2008-07-31,520.0,555.68,465.6005,473.75,207962700.0
2008-08-29,472.06,510.66,461.9,463.29,137490300.0
2008-09-30,476.77,482.18,380.71,400.52,267887800.0
2008-10-31,411.15,416.98,309.44,359.36,398191400.0
2008-11-28,357.58,372.36,247.3,292.96,315749100.0
2008-12-31,286.68,329.5,262.5801,307.65,225787700.0
